Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
1,GRM155R60J475ME47D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4.7uF, X5R, 15%, 20%, 6.3V",C1,1,Murata,GRM155R60J475ME47D,LCSC,C82453,0.0064,0.64
2,C0603C689C5GACTU,CAP CER 6.8PF 50V NP0 0603,C2,1,KEMET,C0603C689C5GACTU,LCSC,C599792,0.0127,0.635
3,CC0603JRNPO9BN330,CAP CER 33PF 50V C0G/NPO 0603,C3,1,Kyocera AVX,06035A330FAT2A,LCSC,C597158,0.0507,0.507
4,GRM188R60J106ME47D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V",C4,1,Murata,GRM188R60J106ME47D,LCSC,C77041,0.0092,0.46
5,GJM1555C1H1R5BB01D,Multi-Layer Ceramic Capacitor 1.5pF C0G  ±0.1pF 0402 Paper T/R,C5,1,Murata,GJM1555C1H1R5BB01D,LCSC,C76900,0.0127,0.635
6,C0603C339C5GACTU,CAP CER 3.3PF 50V NP0 0603,"C6, C7",2,Kyocera AVX,06032U3R3BAT2A,LCSC,C2170224,0.1099,0.5495
7,04023J2R7BBSTR,,C8,1,Murata,GJM1555C1H2R7BB01D,LCSC,C76904,0.015,0.75
8,C0603C560F5GACTU,CAP CER 56PF 50V 1% NP0 0603,C9,1,Murata,GRM1885C1H560JA01D,LCSC,C97880,0.0062,0.62
9,C0603C225K4PACTU,CAP CER 2.2UF 16V X5R 0603,"C10, C23, C24",3,KEMET,C0603C225K4PACTU,LCSC,C452748,0.0314,0.628
10,C0402C104J4RACTU,CAP CER 0.1UF 16V 5% X7R 0402,"C11, C12, C13, C14, C15, C18, C19, C20, C21, C22",10,Murata,GRM155R71C104KA88D,LCSC,C71629,0.0015,0.15
11,0402ZK220GBSTR..,,"C16, C17",2,Kyocera AVX,04025A220KAT2A,LCSC,C597024,0.0037,0.37
12,SZESD7471N2T5G,TVS DIODE 5.3V 2XDFN,"D1, D3",2,ON Semiconductor,SZESD7471N2T5G,LCSC,C896560,0.3154,0.6308
13,SML-P11UTT86,LED RED CLEAR 1006 SMD,"D2, D4",2,Rohm,SML-P11UTT86R,LCSC,C510300,0.1277,0.6385
14,MMZ1005S121CT000, Signal Line Ferrite Bead 120Ω @ 100MHz 500mA DCR 220mΩ SMD 0402,FB1,1,Murata,BLM15AG121SN1D,LCSC,C85812,0.0033,0.33
15,53254-0270,CONN HEADER R/A 2POS 2MM,J1,1,Molex,53254-0270,LCSC,C505100,0.1179,0.5895
16,5-1814400-2,CONN SMA JACK R/A 50 OHM PCB,J2,1,TE Connectivity,5-1814400-2,LCSC,C3174972,7.6,7.6
